respondent_id,segment,role,building_type,num_buildings,total_gfa,primary_emirate,years_in_uae,monthly_bill_aed,bill_category,hvac_pct_of_bill,bill_change_3yr,summer_cooling_spike,monitor_manual,monitor_smart_meter,monitor_bms,monitor_iot,monitor_audit,monitor_none,realtime_visibility_score,energy_intensity_tracking,pain_high_cost,pain_old_hvac,pain_no_data,pain_occupancy,pain_wastage,pain_comfort,pain_maintenance,pain_compliance,hvac_satisfaction,strategy_awareness,sustainability_strategy,tariff_impact,stakeholder_pressure,tech_smart_meter,tech_iot_sensor,tech_auto_lighting,tech_bms,tech_air_quality,tech_ai_maintenance,tech_solar,tech_none,ai_openness,min_savings_threshold,feat_dashboard,feat_auto_hvac,feat_occupancy,feat_predictive,feat_air_quality,feat_carbon,feat_bms_integ,feat_mobile_app,feat_compliance,commercial_model,max_payback,wtp_aed_per_building,wtp_category,pilot_interest,ai_adoption_vision,adoption_class
203,Compliance-Led Adopters,Sustainability Officer,Industrial/Warehouse,6-15,20k-100km²,Abu Dhabi,>10 years,256000.0,100k-500k,73.8,Increased 5-20%,51-100%,0,0,0,0,0,0,7,Yes-systematic,1,0,1,0,0,0,1,1,2.0,Familiar,Partial strategy,Significantly impacted,10.0,0,1,1,1,0,1,1,0,4,11-20%,3,4,5,3,5,5.0,5,4,5,Savings-Sharing,5-7yr,10489.330029070286,5k-15k,4,Standard across all,High-Intent Buyer
204,Resistant Traditionalists,Property Owner,Mixed-Use,50+,5k-20km²,Abu Dhabi,>10 years,60000.0,20k-100k,79.3,Increased>20%,>100%,1,0,0,0,0,0,5,Plan to,1,1,0,0,0,0,1,1,4.0,Familiar,Plan to,Moderately impacted,1.0,0,1,0,0,0,0,0,1,3,Non-cost KPI,2,2,4,2,2,2.0,3,1,1,Savings-Sharing,>7yr,3778.5063730870206,2k-5k,1,Premium/Grade-A only,Evaluator
205,Tech-Forward Operators,Operations Manager,Commercial Office,50+,>500km²,Dubai,6-10 years,583000.0,500k-2M,53.2,Decreased>20%,51-100%,0,0,1,0,0,0,6,Yes-systematic,1,1,1,0,1,0,1,0,3.0,Very familiar,Full strategy,Minimal,8.0,1,1,1,1,1,0,0,0,3,5-10%,4,5,4,4,3,4.0,5,4,3,Lease,3-5yr,1824.2279497364452,<2k,4,Premium/Grade-A only,Evaluator
206,Compliance-Led Adopters,Sustainability Officer,Commercial Office,6-15,100k-500km²,Fujairah,<2 years,249000.0,100k-500k,51.7,Increased 5-20%,<20%,1,0,1,1,0,0,6,Yes-systematic,1,0,1,0,0,0,1,1,1.0,Very familiar,Full strategy,Significantly impacted,8.0,1,1,1,1,1,1,0,0,4,11-20%,3,3,4,3,5,5.0,4,3,3,Managed Service,<1yr,16550.480992858906,15k-30k,5,Premium/Grade-A only,High-Intent Buyer
207,Cost-Driven Laggards,Hospitality Manager,Commercial Office,1,5k-20km²,Abu Dhabi,6-10 years,163000.0,100k-500k,86.2,Stable,51-100%,1,0,0,0,0,0,4,Plan to,1,0,0,1,0,0,1,1,1.0,Somewhat familiar,Partial strategy,Minimal,1.0,1,0,0,1,0,0,0,1,3,21-30%,2,4,4,4,3,1.0,3,4,3,Savings-Sharing,3-5yr,6026.685693714708,5k-15k,2,Standard across all,Evaluator
208,Resistant Traditionalists,Sustainability Officer,Commercial Office,16-50,<5000m²,Abu Dhabi,6-10 years,82000.0,20k-100k,66.2,Increased 5-20%,51-100%,1,1,0,0,0,0,4,Plan to,1,0,0,1,1,0,1,0,4.0,Familiar,No plans,Moderately impacted,2.0,1,0,0,0,0,0,0,1,1,11-20%,2,1,2,3,1,2.0,3,1,1,CAPEX,>7yr,2334.6425384971726,2k-5k,2,Limited adoption,Not Ready
209,Cost-Driven Laggards,Property Owner,Hotel/Hospitality,50+,100k-500km²,Abu Dhabi,2-5 years,65000.0,20k-100k,83.4,Increased 5-20%,>100%,0,0,0,0,0,0,2,Yes-occasional,1,0,1,0,0,1,0,0,1.0,Not familiar,Full strategy,Significantly impacted,3.0,0,1,0,0,0,0,0,1,1,21-30%,3,3,4,5,3,3.0,1,4,2,CAPEX,3-5yr,4775.923507606981,2k-5k,3,Premium/Grade-A only,Evaluator
210,Early Majority Evaluators,Facilities Manager,Mixed-Use,2-5,20k-100km²,Dubai,6-10 years,163000.0,100k-500k,72.6,Increased 5-20%,>100%,0,1,1,1,0,0,3,No plans,1,0,1,0,1,0,1,1,3.0,Somewhat familiar,In development,Minimal,6.0,1,1,0,0,0,1,0,0,4,11-20%,2,4,3,5,3,2.0,4,4,3,CAPEX,3-5yr,6748.392507819733,5k-15k,3,Regulation-driven,Evaluator
211,Compliance-Led Adopters,Other,Commercial Office,2-5,100k-500km²,Abu Dhabi,>10 years,270000.0,100k-500k,65.3,Increased 5-20%,51-100%,0,0,1,0,0,1,5,Plan to,1,1,1,1,1,1,1,1,2.0,Very familiar,Full strategy,Minimal,,1,1,0,1,1,0,0,0,2,21-30%,4,5,4,5,4,5.0,3,4,3,SaaS Subscription,3-5yr,10132.973122721549,5k-15k,4,Regulation-driven,Evaluator
212,Cost-Driven Laggards,Hospitality Manager,Industrial/Warehouse,6-15,>500km²,Abu Dhabi,6-10 years,155000.0,100k-500k,81.3,Increased>20%,51-100%,1,1,0,0,0,0,3,No plans,1,1,1,0,0,0,0,0,,Not familiar,Plan to,No impact,4.0,0,0,1,0,1,0,0,1,3,>30%,3,5,3,3,3,1.0,3,3,2,Savings-Sharing,1-2yr,7983.913507923729,5k-15k,2,Regulation-driven,Evaluator
213,Cost-Driven Laggards,Operations Manager,Residential Tower,50+,<5000m²,Dubai,>10 years,98000.0,20k-100k,73.3,Decreased>20%,>100%,1,1,0,0,0,0,2,No plans,1,1,1,1,1,0,1,1,3.0,Very familiar,Partial strategy,Minimal,2.0,0,1,0,1,0,0,0,0,3,11-20%,3,4,3,4,3,2.0,3,3,2,CAPEX,1-2yr,6609.045293261244,5k-15k,2,Premium/Grade-A only,Evaluator
214,Tech-Forward Operators,Other,Mixed-Use,1,<5000m²,Dubai,>10 years,5000.0,<20k,75.8,Increased>20%,>100%,0,0,1,1,1,0,8,Yes-occasional,0,0,1,1,1,0,0,1,3.0,Familiar,Partial strategy,Significantly impacted,7.0,1,0,1,0,1,0,0,0,4,5-10%,5,5,4,4,3,5.0,5,4,4,Savings-Sharing,1-2yr,500.0,<2k,5,Regulation-driven,High-Intent Buyer
215,Cost-Driven Laggards,Facilities Manager,Mixed-Use,2-5,20k-100km²,Dubai,>10 years,134387.227070544,100k-500k,79.6,Decreased 5-20%,>100%,0,0,1,0,0,0,1,No plans,1,1,0,0,1,0,1,0,3.0,Familiar,In development,Significantly impacted,5.0,0,0,0,0,0,0,0,1,3,21-30%,3,4,4,4,3,,3,2,1,Savings-Sharing,1-2yr,8496.076951984804,5k-15k,2,Standard across all,Evaluator
216,Cost-Driven Laggards,Property Owner,Commercial Office,1,5k-20km²,Abu Dhabi,2-5 years,14000.0,<20k,72.3,Increased>20%,>100%,0,0,0,0,0,0,4,Plan to,1,1,0,1,1,0,1,0,3.0,Somewhat familiar,Full strategy,Significantly impacted,3.0,0,0,0,1,0,0,0,1,3,>30%,4,5,4,4,2,3.0,3,2,3,Savings-Sharing,3-5yr,500.0,<2k,3,Premium/Grade-A only,Evaluator
217,Resistant Traditionalists,Other,Commercial Office,2-5,<5000m²,Dubai,>10 years,71000.0,20k-100k,70.4,Decreased 5-20%,51-100%,1,1,0,0,0,0,5,No plans,1,0,0,0,1,0,1,0,2.0,Not familiar,Plan to,Moderately impacted,1.0,0,0,1,0,0,0,0,0,2,21-30%,3,2,2,3,2,1.0,2,1,4,CAPEX,5-7yr,1615.2752026317485,<2k,2,Limited adoption,Not Ready
218,Tech-Forward Operators,Government Official,Commercial Office,16-50,20k-100km²,Dubai,6-10 years,479000.0,100k-500k,61.4,Increased 5-20%,20-50%,0,0,1,1,0,0,9,Yes-systematic,1,0,1,0,1,1,1,0,4.0,Very familiar,Partial strategy,Moderately impacted,7.0,1,0,0,0,0,1,1,0,5,Non-cost KPI,5,4,3,5,3,3.0,4,4,2,Lease,<1yr,5427.59458194458,5k-15k,5,Limited adoption,High-Intent Buyer
219,Compliance-Led Adopters,Operations Manager,Healthcare,16-50,5k-20km²,Abu Dhabi,>10 years,527000.0,500k-2M,50.4,Increased>20%,51-100%,0,1,0,0,0,1,5,Yes-systematic,1,1,1,1,0,1,1,1,3.0,Very familiar,Partial strategy,No impact,8.0,0,1,1,0,1,0,0,0,5,11-20%,5,3,5,4,4,5.0,3,5,5,SaaS Subscription,1-2yr,6111.31432882898,5k-15k,5,Premium/Grade-A only,High-Intent Buyer
220,Cost-Driven Laggards,Property Owner,Government Facility,6-15,20k-100km²,Abu Dhabi,<2 years,255094.86898924634,100k-500k,75.1,Increased 5-20%,51-100%,1,1,0,0,0,0,5,No plans,1,1,0,1,0,0,1,0,4.0,Familiar,Plan to,Moderately impacted,5.0,0,0,0,0,0,0,1,1,4,21-30%,5,4,3,5,4,1.0,4,5,2,Savings-Sharing,<1yr,6083.034683221396,5k-15k,2,Limited adoption,Evaluator
221,Tech-Forward Operators,Other,Mixed-Use,16-50,100k-500km²,Dubai,>10 years,469000.0,100k-500k,55.8,Increased 5-20%,20-50%,0,0,1,1,0,0,3,Yes-systematic,1,1,0,1,1,1,1,0,4.0,Very familiar,Partial strategy,No impact,4.0,1,1,1,0,1,0,0,0,4,11-20%,5,5,5,4,4,4.0,5,5,2,CAPEX,1-2yr,4960.382663976419,2k-5k,4,Limited adoption,Evaluator
222,Cost-Driven Laggards,Property Owner,Mixed-Use,50+,20k-100km²,RAK,6-10 years,12000.0,<20k,77.1,Stable,51-100%,0,0,0,0,0,0,3,No plans,1,1,0,1,1,0,0,1,2.0,Familiar,Plan to,Significantly impacted,3.0,0,1,1,0,0,0,0,1,4,21-30%,4,5,4,4,3,2.0,4,2,2,Savings-Sharing,1-2yr,4491.015286689159,2k-5k,3,Premium/Grade-A only,Evaluator
223,Early Majority Evaluators,Hospitality Manager,Retail/Mall,6-15,20k-100km²,Dubai,6-10 years,166000.0,100k-500k,81.7,Increased 5-20%,20-50%,0,0,1,0,0,0,1,Yes-systematic,0,0,0,1,1,0,0,0,4.0,Familiar,In development,Moderately impacted,5.0,1,0,0,0,0,0,0,0,2,21-30%,5,4,4,5,4,4.0,4,3,2,Lease,<1yr,6078.253968197987,5k-15k,3,Regulation-driven,Evaluator
224,Tech-Forward Operators,Sustainability Officer,Hotel/Hospitality,2-5,100k-500km²,Abu Dhabi,<2 years,1185000.0,500k-2M,62.7,Increased 5-20%,51-100%,0,1,1,1,0,0,9,Yes-occasional,1,0,1,1,1,0,1,1,3.0,Very familiar,Plan to,Significantly impacted,5.0,1,1,1,1,0,0,1,0,5,21-30%,4,5,5,5,4,5.0,4,3,2,SaaS Subscription,5-7yr,7221.753149462946,5k-15k,5,Standard across all,High-Intent Buyer
225,Early Majority Evaluators,Other,Government Facility,6-15,100k-500km²,Sharjah,6-10 years,273892.6577701907,100k-500k,68.2,Increased 5-20%,51-100%,1,0,1,1,0,0,3,Yes-systematic,1,1,1,1,0,1,1,0,1.0,Somewhat familiar,Full strategy,Significantly impacted,4.0,0,1,0,0,1,0,0,0,5,5-10%,4,3,3,4,5,5.0,4,1,4,SaaS Subscription,3-5yr,500.0,<2k,4,Premium/Grade-A only,Evaluator
226,Tech-Forward Operators,Operations Manager,Hotel/Hospitality,16-50,100k-500km²,Dubai,>10 years,961000.0,500k-2M,65.0,Increased 5-20%,20-50%,0,0,1,0,0,0,9,Yes-occasional,1,1,1,1,0,1,0,0,4.0,Very familiar,Full strategy,Moderately impacted,6.0,1,1,1,1,1,0,0,0,5,21-30%,4,5,5,4,4,2.0,4,4,4,Lease,5-7yr,7497.833828749134,5k-15k,3,Regulation-driven,Evaluator
227,Resistant Traditionalists,Property Owner,Government Facility,16-50,20k-100km²,RAK,2-5 years,66000.0,20k-100k,92.7,Increased 5-20%,20-50%,1,1,1,0,0,0,2,No plans,1,1,1,0,1,0,1,0,4.0,Somewhat familiar,In development,No impact,4.0,0,0,0,0,0,0,0,1,2,21-30%,3,2,2,3,3,3.0,3,1,1,Savings-Sharing,5-7yr,1271.0544063787415,<2k,1,Regulation-driven,Not Ready
228,Cost-Driven Laggards,Facilities Manager,Residential Tower,2-5,5k-20km²,Sharjah,2-5 years,112000.0,100k-500k,71.4,Increased>20%,51-100%,0,0,0,0,0,0,5,No plans,1,1,0,1,1,0,1,0,1.0,Very familiar,In development,Significantly impacted,2.0,0,0,0,0,0,0,0,0,3,21-30%,3,1,2,3,5,2.0,4,4,1,SaaS Subscription,3-5yr,500.0,<2k,4,Regulation-driven,Evaluator
229,Resistant Traditionalists,Property Owner,Commercial Office,6-15,5k-20km²,Dubai,>10 years,58000.0,20k-100k,58.2,Stable,>100%,1,0,0,0,0,0,2,Plan to,1,1,0,0,0,0,0,1,3.0,Somewhat familiar,Partial strategy,Moderately impacted,1.0,0,0,1,0,0,1,0,0,1,>30%,2,3,2,2,2,1.0,3,1,2,Savings-Sharing,5-7yr,3774.355509425507,2k-5k,4,Regulation-driven,Evaluator
230,Tech-Forward Operators,Hospitality Manager,Retail/Mall,6-15,>500km²,Abu Dhabi,6-10 years,562000.0,500k-2M,78.8,Increased 5-20%,>100%,0,0,1,1,0,0,7,Plan to,1,0,0,1,1,1,1,0,3.0,Somewhat familiar,In development,Moderately impacted,6.0,1,1,1,1,1,1,1,0,4,>30%,5,3,5,5,4,4.0,4,4,2,SaaS Subscription,1-2yr,16728.730828160777,15k-30k,4,Premium/Grade-A only,High-Intent Buyer
231,Early Majority Evaluators,Operations Manager,Retail/Mall,6-15,20k-100km²,Dubai,2-5 years,1590783.9327936096,100k-500k,61.8,Increased 5-20%,20-50%,0,0,1,0,1,0,6,Plan to,1,1,1,1,1,1,1,0,4.0,Somewhat familiar,Partial strategy,Significantly impacted,7.0,0,1,0,1,1,0,0,0,4,>30%,4,3,4,4,4,4.0,4,4,3,CAPEX,1-2yr,15694.853612261191,15k-30k,4,Standard across all,High-Intent Buyer
232,Resistant Traditionalists,Property Owner,Residential Tower,2-5,<5000m²,Abu Dhabi,2-5 years,88000.0,20k-100k,63.9,Increased 5-20%,>100%,0,1,0,0,0,0,2,No plans,1,0,0,0,0,1,0,0,4.0,Very familiar,Plan to,Moderately impacted,,0,1,0,0,0,0,0,1,3,>30%,1,1,2,1,3,2.0,3,1,2,Savings-Sharing,>7yr,3328.2757429996545,2k-5k,3,Regulation-driven,Evaluator
233,Early Majority Evaluators,Sustainability Officer,Mixed-Use,2-5,5k-20km²,RAK,<2 years,461659.00395775214,100k-500k,70.2,Decreased>20%,20-50%,0,1,1,0,0,0,10,Yes-occasional,1,1,1,0,1,1,0,0,3.0,Somewhat familiar,In development,Significantly impacted,4.0,1,0,1,0,0,0,0,0,3,11-20%,5,4,3,5,4,2.0,5,3,3,Savings-Sharing,5-7yr,11367.498660262449,5k-15k,2,Regulation-driven,Evaluator
234,Tech-Forward Operators,C-Suite Executive,Retail/Mall,50+,100k-500km²,Abu Dhabi,>10 years,5000.0,<20k,52.8,Stable,>100%,1,1,1,1,0,0,7,Yes-systematic,1,1,1,1,1,1,0,0,3.0,Familiar,Partial strategy,Minimal,6.0,1,1,1,1,1,0,0,0,5,11-20%,3,5,5,5,4,3.0,5,5,3,CAPEX,3-5yr,8266.577010562325,5k-15k,4,Premium/Grade-A only,High-Intent Buyer
235,Early Majority Evaluators,Government Official,Hotel/Hospitality,6-15,5k-20km²,Dubai,<2 years,199000.0,100k-500k,65.0,Increased 5-20%,51-100%,0,1,0,1,1,0,5,Yes-occasional,1,1,1,0,1,0,0,1,2.0,Very familiar,No plans,Significantly impacted,6.0,1,0,1,0,0,0,0,0,2,>30%,4,3,4,3,4,3.0,5,4,5,Savings-Sharing,>7yr,6223.090771980811,5k-15k,5,Standard across all,Evaluator
236,Early Majority Evaluators,C-Suite Executive,Government Facility,2-5,20k-100km²,Dubai,>10 years,349000.0,100k-500k,61.0,Stable,51-100%,0,1,1,0,0,0,6,Yes-occasional,1,1,1,1,1,0,1,1,1.0,Familiar,Full strategy,Moderately impacted,4.0,0,1,0,0,0,0,1,1,3,21-30%,3,4,3,5,4,3.0,4,3,2,SaaS Subscription,1-2yr,1783.861976693379,<2k,5,Standard across all,Evaluator
237,Early Majority Evaluators,C-Suite Executive,Government Facility,16-50,20k-100km²,Dubai,6-10 years,178000.0,100k-500k,63.7,Increased>20%,51-100%,0,1,1,1,0,0,4,Plan to,0,0,0,1,1,1,0,0,3.0,Somewhat familiar,Partial strategy,Moderately impacted,5.0,0,0,0,1,0,0,0,0,4,>30%,3,5,4,3,3,4.0,4,3,3,Savings-Sharing,3-5yr,11010.229223584633,5k-15k,4,Standard across all,Evaluator
238,Tech-Forward Operators,Hospitality Manager,Hotel/Hospitality,16-50,>500km²,Sharjah,>10 years,244000.0,100k-500k,57.3,Increased>20%,51-100%,0,1,1,1,0,0,6,Yes-systematic,0,1,0,1,1,1,1,0,2.0,Very familiar,Partial strategy,Minimal,9.0,1,1,1,0,1,1,1,0,4,21-30%,4,5,4,4,3,3.0,5,3,4,Savings-Sharing,1-2yr,10654.744369235597,5k-15k,5,Premium/Grade-A only,High-Intent Buyer
239,Tech-Forward Operators,Other,Mixed-Use,6-15,20k-100km²,Abu Dhabi,>10 years,395000.0,100k-500k,65.9,Increased 5-20%,>100%,0,0,1,0,0,0,7,Yes-systematic,1,1,1,0,1,1,0,1,2.0,Familiar,Full strategy,Minimal,4.0,1,0,1,1,1,1,0,0,5,11-20%,3,5,4,5,4,5.0,4,4,3,Savings-Sharing,1-2yr,11257.69697916908,5k-15k,5,Regulation-driven,High-Intent Buyer
240,Cost-Driven Laggards,C-Suite Executive,Hotel/Hospitality,50+,5k-20km²,Abu Dhabi,2-5 years,19432.63114552769,<20k,69.5,Increased 5-20%,>100%,1,1,0,0,0,0,1,Yes-occasional,1,0,1,1,0,1,1,0,3.0,Somewhat familiar,In development,Significantly impacted,8.0,0,0,0,0,0,0,0,0,3,11-20%,3,3,4,4,2,3.0,3,4,4,Savings-Sharing,5-7yr,1431.974542161427,<2k,3,Premium/Grade-A only,Evaluator
241,Early Majority Evaluators,Other,Government Facility,2-5,100k-500km²,Ajman,>10 years,48000.0,20k-100k,57.5,Increased 5-20%,51-100%,0,0,1,0,0,0,8,Yes-systematic,1,1,1,0,1,0,1,0,2.0,Somewhat familiar,Full strategy,Moderately impacted,7.0,1,1,0,1,0,1,0,0,3,11-20%,3,5,3,4,4,4.0,4,4,2,Savings-Sharing,1-2yr,15274.476817499246,15k-30k,4,Premium/Grade-A only,Evaluator
242,Tech-Forward Operators,Hospitality Manager,Hotel/Hospitality,6-15,20k-100km²,Abu Dhabi,6-10 years,254000.0,100k-500k,64.0,Increased 5-20%,20-50%,0,0,1,1,1,0,5,Yes-systematic,0,1,1,1,1,0,0,0,3.0,Very familiar,Full strategy,Minimal,4.0,1,1,1,1,1,1,1,0,4,11-20%,3,5,3,5,4,4.0,4,3,2,CAPEX,1-2yr,17019.120936233892,15k-30k,5,Premium/Grade-A only,High-Intent Buyer
243,Resistant Traditionalists,Property Owner,Hotel/Hospitality,1,<5000m²,Sharjah,2-5 years,206940.41288594218,20k-100k,68.0,Decreased 5-20%,20-50%,1,0,0,0,0,0,1,Plan to,0,1,1,0,1,1,1,0,3.0,Not familiar,Partial strategy,Significantly impacted,4.0,0,0,0,0,0,0,1,1,2,>30%,4,1,1,2,2,2.0,3,1,3,CAPEX,>7yr,5403.8858827589775,5k-15k,1,Premium/Grade-A only,Not Ready
244,Tech-Forward Operators,Hospitality Manager,Mixed-Use,16-50,20k-100km²,Dubai,6-10 years,158000.0,100k-500k,68.5,Decreased 5-20%,51-100%,0,0,0,1,0,0,5,Plan to,1,1,0,1,1,1,1,1,3.0,Very familiar,Partial strategy,Minimal,8.0,1,1,1,1,1,0,0,0,4,21-30%,4,5,5,4,3,4.0,4,2,2,Lease,3-5yr,10131.45390387873,5k-15k,5,Regulation-driven,High-Intent Buyer
245,Compliance-Led Adopters,Sustainability Officer,Healthcare,6-15,20k-100km²,RAK,>10 years,96000.0,20k-100k,66.8,Stable,20-50%,1,0,1,0,0,0,6,Yes-systematic,1,1,1,1,1,1,0,1,2.0,Familiar,Full strategy,Minimal,6.0,0,0,0,0,1,1,0,0,4,21-30%,5,4,5,5,5,4.0,5,4,5,SaaS Subscription,3-5yr,1162.0741605025232,<2k,4,Premium/Grade-A only,High-Intent Buyer
246,Tech-Forward Operators,Operations Manager,Hotel/Hospitality,50+,20k-100km²,Sharjah,6-10 years,835000.0,500k-2M,59.3,Decreased>20%,51-100%,0,0,1,1,0,0,7,No plans,0,1,1,0,1,0,0,1,2.0,Familiar,Plan to,Moderately impacted,7.0,1,1,0,1,1,1,1,0,4,>30%,4,5,5,3,4,3.0,4,4,3,Savings-Sharing,1-2yr,5848.347415981794,5k-15k,5,Regulation-driven,High-Intent Buyer
247,Compliance-Led Adopters,C-Suite Executive,Industrial/Warehouse,6-15,>500km²,RAK,>10 years,537000.0,500k-2M,57.5,Increased 5-20%,51-100%,1,0,1,1,0,0,6,Yes-occasional,1,0,1,0,1,1,1,1,4.0,Somewhat familiar,Full strategy,Moderately impacted,9.0,1,1,1,0,1,1,1,0,4,Non-cost KPI,4,5,4,5,4,5.0,4,5,5,SaaS Subscription,5-7yr,5867.294427946912,5k-15k,3,Standard across all,Evaluator
248,Cost-Driven Laggards,Other,Residential Tower,2-5,5k-20km²,Abu Dhabi,>10 years,205000.0,100k-500k,69.5,Increased 5-20%,51-100%,0,1,1,0,0,0,1,Yes-systematic,1,1,0,1,0,1,1,0,4.0,Not familiar,Plan to,Significantly impacted,6.0,0,0,0,0,1,0,0,0,4,21-30%,4,5,4,5,2,2.0,5,4,3,Managed Service,1-2yr,9214.440274978417,5k-15k,3,Limited adoption,Evaluator
249,Cost-Driven Laggards,Facilities Manager,Industrial/Warehouse,6-15,<5000m²,Abu Dhabi,6-10 years,60000.0,20k-100k,79.2,Stable,51-100%,1,0,0,0,1,1,2,Plan to,1,1,0,1,0,0,1,0,3.0,Somewhat familiar,No plans,Significantly impacted,3.0,0,0,0,0,0,0,0,0,4,21-30%,4,4,3,4,3,3.0,4,2,2,Savings-Sharing,3-5yr,7129.211475911082,5k-15k,4,Limited adoption,Evaluator
250,Cost-Driven Laggards,Hospitality Manager,Commercial Office,1,5k-20km²,Fujairah,<2 years,141000.0,100k-500k,72.1,Increased 5-20%,>100%,1,0,0,0,0,0,5,Yes-occasional,1,1,0,1,0,0,0,0,3.0,Somewhat familiar,Full strategy,Moderately impacted,4.0,0,0,0,0,0,0,0,0,3,21-30%,5,5,2,4,2,4.0,4,3,2,CAPEX,3-5yr,5002.105386869474,5k-15k,4,Regulation-driven,Evaluator
251,Cost-Driven Laggards,Property Owner,Residential Tower,2-5,5k-20km²,Dubai,<2 years,208000.0,100k-500k,62.0,Stable,51-100%,1,0,0,0,0,0,5,Plan to,1,1,0,0,1,1,1,0,2.0,Somewhat familiar,No plans,Significantly impacted,4.0,0,0,0,0,0,0,0,0,2,11-20%,4,4,3,5,3,,4,3,2,Lease,5-7yr,7073.513273343152,5k-15k,1,Premium/Grade-A only,Not Ready
252,Resistant Traditionalists,Sustainability Officer,Industrial/Warehouse,16-50,<5000m²,Abu Dhabi,6-10 years,31000.0,20k-100k,73.5,Increased 5-20%,51-100%,1,0,0,0,0,0,4,No plans,1,1,1,0,0,1,1,0,3.0,Somewhat familiar,No plans,Significantly impacted,3.0,0,0,0,0,0,0,0,1,3,11-20%,3,2,3,4,1,1.0,2,2,2,SaaS Subscription,5-7yr,3823.028848800729,2k-5k,1,Limited adoption,Evaluator
253,Tech-Forward Operators,Hospitality Manager,Mixed-Use,6-15,100k-500km²,Abu Dhabi,>10 years,5000.0,<20k,67.6,Stable,<20%,0,0,1,1,0,1,6,Yes-systematic,1,0,0,1,1,0,0,0,,Very familiar,Full strategy,Moderately impacted,6.0,1,0,0,0,0,1,0,0,5,5-10%,5,5,5,4,5,4.0,3,5,4,SaaS Subscription,1-2yr,16820.190292926978,15k-30k,2,Regulation-driven,Evaluator
254,Resistant Traditionalists,Government Official,Industrial/Warehouse,2-5,20k-100km²,Abu Dhabi,6-10 years,76000.0,20k-100k,61.1,Increased 5-20%,51-100%,1,1,0,0,0,0,2,No plans,1,0,0,1,1,1,1,0,5.0,Somewhat familiar,No plans,Not sure,2.0,0,0,0,0,0,0,0,0,2,>30%,2,3,2,1,3,2.0,3,1,4,SaaS Subscription,3-5yr,1617.8429270924732,<2k,2,Premium/Grade-A only,Not Ready
255,Cost-Driven Laggards,Sustainability Officer,Hotel/Hospitality,6-15,<5000m²,Dubai,>10 years,30000.0,20k-100k,78.8,Increased 5-20%,>100%,0,0,0,0,0,0,2,No plans,1,1,0,1,0,0,1,1,3.0,Not familiar,Plan to,Significantly impacted,5.0,0,0,0,0,0,0,0,0,1,11-20%,3,4,4,4,4,3.0,3,3,4,CAPEX,3-5yr,2135.8496597567937,2k-5k,4,Limited adoption,Evaluator
256,Resistant Traditionalists,Property Owner,Retail/Mall,16-50,20k-100km²,Abu Dhabi,>10 years,117000.0,100k-500k,62.2,Stable,>100%,0,0,1,0,0,0,4,No plans,1,1,1,0,1,0,1,0,4.0,Familiar,Plan to,Moderately impacted,4.0,1,0,0,0,0,0,0,0,2,21-30%,3,2,3,3,3,1.0,3,2,3,Savings-Sharing,5-7yr,2687.0543454306194,2k-5k,2,Regulation-driven,Not Ready
257,Tech-Forward Operators,Sustainability Officer,Healthcare,6-15,>500km²,Sharjah,6-10 years,1153000.0,500k-2M,59.6,Increased>20%,>100%,0,0,1,1,0,0,8,Plan to,1,1,0,1,1,0,1,0,4.0,Very familiar,Full strategy,Moderately impacted,8.0,1,0,1,1,1,0,1,0,5,11-20%,4,5,5,5,4,4.0,5,4,3,SaaS Subscription,5-7yr,16578.372094431325,15k-30k,4,Standard across all,High-Intent Buyer
258,Cost-Driven Laggards,Sustainability Officer,Residential Tower,1,100k-500km²,Dubai,>10 years,227000.0,100k-500k,69.6,Increased 5-20%,20-50%,0,1,0,0,0,0,2,No plans,1,0,1,0,1,1,0,0,2.0,Somewhat familiar,In development,Moderately impacted,5.0,0,0,0,1,0,1,0,0,3,21-30%,4,4,4,5,2,2.0,4,1,3,Savings-Sharing,3-5yr,624.8528213580607,<2k,2,Standard across all,Evaluator
259,Tech-Forward Operators,Other,Industrial/Warehouse,6-15,5k-20km²,Abu Dhabi,>10 years,409000.0,100k-500k,71.9,Decreased 5-20%,51-100%,1,0,1,1,1,0,7,Yes-occasional,1,0,1,1,0,1,0,1,3.0,Not familiar,Full strategy,Moderately impacted,8.0,0,1,1,1,1,0,0,0,5,11-20%,4,5,3,5,3,2.0,5,5,4,SaaS Subscription,5-7yr,16451.77809917679,15k-30k,5,Standard across all,High-Intent Buyer
260,Early Majority Evaluators,Operations Manager,Retail/Mall,50+,5k-20km²,Dubai,>10 years,174000.0,100k-500k,64.7,Increased 5-20%,51-100%,0,0,1,0,0,0,3,Yes-occasional,1,1,0,1,0,1,0,0,1.0,Familiar,Partial strategy,Moderately impacted,8.0,1,1,1,0,1,0,0,0,5,21-30%,4,5,4,5,3,,4,5,5,SaaS Subscription,1-2yr,17598.408554791662,15k-30k,4,Standard across all,Evaluator
